message_id,buyer,points,selected,str,dex,con,int,wis,cha,user_id
989227949268037694,NEWSYS,16,3,10,10,10,10,10,10,262398658962522112
989227051733102622,NEWSYS,16,3,10,10,10,10,10,10,262398658962522112
989229151204560976,NEWSYS,16,4,10,10,10,10,10,10,262398658962522112
989229363969007636,NEWSYS,16,4,10,10,10,10,10,10,410524173983809546
989229642017808444,NEWSYS,16,2,10,10,10,10,10,10,410524173983809546
989231728805695528,NEWSYS,16,2,10,10,11,10,10,9,410524173983809546
989232192758624346,NEWSYS,16,5,10,10,10,10,10,10,410524173983809546
989232611140456498,NEWSYS,16,4,10,10,10,10,10,10,410524173983809546
989232920680095834,NEWSYS,16,2,10,10,10,10,10,10,410524173983809546
989234356084150322,NEWSYS,16,3,10,10,10,10,10,10,410524173983809546
989235609228955648,NEWSYS,16,1,10,10,10,10,10,10,410524173983809546
989237197054050314,NEWSYS,16,-2,10,10,10,10,10,10,410524173983809546
989238077119688814,NEWSYS,16,-1,10,10,10,10,10,10,410524173983809546
989238489809842186,NEWSYS,16,4,10,10,10,10,10,10,410524173983809546
989239399810203678,NEWSYS,16,-1,10,10,10,10,10,10,262398658962522112
990767052652429323,NEWSYS,16,5,10,10,10,10,10,10,262398658962522112
990768199295438868,NEWSYS,16,4,10,10,10,10,10,10,262398658962522112
990768695028633600,NEWSYS,16,3,10,10,10,10,10,10,262398658962522112
990770085260066816,NEWSYS,16,1,10,10,10,10,10,10,410524173983809546
990771357744758885,NEWSYS,16,5,10,10,10,10,10,10,410524173983809546
990773685621231646,NEWSYS,16,3,17,11,10,14,10,10,262398658962522112
